DocumentID,Words (split by space),anger,disgust,fear,joy,sad,surprise
train1,mortar assault leaves at least dead,0.1486,0.0135,0.4054,0,0.4324,0
train2,goal delight for sheva,0,0,0,0.7099,0,0.2901
train3,nigeria hostage feared dead is freed,0.0814,0,0.2353,0.2986,0.0905,0.2941
train4,bombers kill shoppers,0.2316,0.1368,0.3298,0,0.3018,0
train5,vegetables not fruit slow brain decline,0,0,0.2525,0.2626,0.0202,0.4646
train6,pm havana deal a good experiment,0,0,0,0.5484,0,0.4516
train7,kate is marrying doherty,0,0,0,0.6339,0,0.3661
train8,nasa revisiting life on mars question,0,0,0,0.4182,0,0.5818
train9,happy birthday ipod,0,0,0,0.9595,0,0.0405
train10,alonso would be happy to retire with three titles,0,0,0,0.7176,0.2824,0
train11,madonna s new tot happy at home in london,0,0,0,1,0,0
train12,nicole kidman asks dad to help stop husband s drinking,0.1795,0,0.2564,0,0.359,0.2051
train13,united finds good connection in win,0,0,0,0.913,0,0.087
train14,runway making good without making nice,0,0.0968,0,0.7097,0,0.1935
train15,we were arrogant and stupid over iraq says us diplomat,0.1707,0.122,0.1016,0.0935,0.3293,0.1829
train16,bad reasons to be good,0.1636,0.0545,0,0.2727,0.4545,0.0545
train17,madonna s new baby s daddy didn t realize adoption was for good,0,0,0.025,0.1125,0.0875,0.775
train18,women in their s are perfectly good mothers,0.1557,0.1557,0.1885,0.1967,0.2131,0.0902
train19,we re a pretty kind bully,0,0,0,1,0,0
train20,moderate drinking reduces men s heart attack risk,0,0.0374,0.243,0.486,0.0841,0.1495
train21,tom cruise and katie holmes set wedding date,0,0,0,0.8571,0,0.1429
train22,kidnapped ap photographer freed in gaza,0.1333,0.1244,0.2222,0.2178,0.1378,0.1644
train23,bush insists troops stay in iraq predicts midterm victory,0.1921,0.2938,0.2599,0.0339,0.2203,0
train24,hurricane paul weakens to tropical storm,0,0,0.3269,0.3173,0,0.3558
train25,uk announces immigration restrictions,0.236,0.2247,0.2191,0,0.2303,0.0899
train26,three found alive from missing russian ship report,0,0,0.1489,0.4468,0.0691,0.3351
train27,poison pill to swallow hawks hurting after loss to vikes,0,0.1404,0.4035,0,0.4561,0
train28,injured marathon winner leaves hospital,0.1167,0.0917,0.0583,0.5583,0.175,0
train29,hacker unlocks apple music download protection,0.1694,0.1129,0.0968,0.2016,0,0.4194
train30,spanish journalist seized in gaza,0.244,0.204,0.26,0,0.208,0.084
train31,sudan urges un to replace its special envoy,0.3529,0.1765,0,0,0,0.4706
train32,resolution approved for international games,0,0,0,0.75,0,0.25
train33,pair of satellites will document sun in d,0,0,0,0.5733,0,0.4267
train34,martian life could have evaded detection by viking landers,0.102,0,0,0.0612,0.102,0.7347
train35,the sweet tune of an anniversary,0,0,0,1,0,0
train36,did viking probes miss life on mars,0.1618,0,0.0882,0,0.1471,0.6029
train37,diplomat acknowledges us arrogance in iraq,0.3061,0.2993,0,0.0952,0.1224,0.1769
train38,more human remains found at ground zero,0.2407,0.1358,0.037,0,0.4198,0.1667
train39,how to prevent iraq from getting even worse,0.1824,0.2294,0.3941,0,0.1941,0
train40,tensions as hungary marks uprising,0.2604,0,0.3333,0,0.3333,0.0729
train41,stanford study warns of internet addiction,0,0.2708,0.4792,0,0.1875,0.0625
train42,no evidence of ice reserves on the moon,0,0,0,0,0.6154,0.3846
train43,parachutist dies at bridge jump festival,0.0432,0.0432,0.2374,0.0432,0.6331,0
train44,us troops killed in october in iraq,0.2266,0.1921,0.202,0,0.3793,0
train45,chefs not counting calories study finds,0.3659,0,0.122,0,0.5122,0
train46,deaths linked to flu vaccine,0.2222,0,0.3137,0,0.4641,0
train47,perfect lives lose their focus,0,0,0.082,0.5574,0.2623,0.0984
train48,bread heavy diet linked to kidney cancer,0.0079,0.0397,0.4365,0,0.3333,0.1825
train49,beating poverty in a small way,0,0,0.1176,0.4706,0.4118,0
train50,israel insists on lebanon overflights,0.3645,0.2897,0.0374,0,0.3084,0
train51,britain to restrict immigrants from new eu members,0.2692,0.3077,0.2692,0,0.1538,0
train52,confusion reigns in the expanding digital world,0.1579,0,0,0,0,0.8421
train53,game on london exhibition celebrates the history of video games,0,0,0,0.9211,0,0.0789
train54,making peace from victory over poverty,0,0,0.1124,0.7079,0.1798,0
train55,marine killed in fighting west of baghdad,0.2034,0,0.3729,0,0.4237,0
train56,scientists create first cloaking device,0,0,0,0.5,0,0.5
train57,amateur rocket scientists reach for space,0,0,0,0.5714,0,0.4286
train58,confusion reigns in the expanding digital world,0.1622,0,0.1622,0,0.1622,0.5135
train59,deaths linked to flu vaccine,0.1947,0.0474,0.3,0,0.3474,0.1105
train60,israel admits using phosphorous shells in lebanon,0.2967,0.2582,0.033,0,0.3242,0.0879
train61,th person dies after receiving flu shot,0.2566,0,0.3684,0,0.375,0
train62,police and shoppers targeted in growing iraq violence,0.2133,0.1801,0.3555,0,0.2512,0
train63,scientists discover miracle in the depths,0,0,0.0423,0.2958,0,0.662
train64,doctors seeing patients who think they re internet addicted,0,0,0,0.2432,0.4324,0.3243
train65,china launches two satellites into orbit,0,0,0,0.8333,0,0.1667
train66,vegetables may boost brain power in older adults,0,0,0.0926,0.4444,0,0.463
train67,hurricane paul nears category status,0,0,0.701,0,0.2371,0.0619
train68,russian ship sinks member crew missing,0.0368,0,0.4412,0,0.5221,0
train69,iran s president urges higher birth rate,0,0.0625,0,0.125,0,0.8125
train70,apple set for massive market gains,0,0,0,0.8125,0,0.1875
train71,tumor types may explain survival rates for cancer,0,0,0.1698,0.2642,0.4528,0.1132
train72,routine mission turns into hunt for missing comrade,0.0462,0,0.2462,0,0.4,0.3077
train73,bad weather slows s korean search for russian ship,0.0909,0.2424,0.0303,0,0.6364,0
train74,tailors and housewives busy as muslims celebrate eid,0.0964,0,0,0.6506,0.253,0
train75,active peace brings the promise of development,0,0,0,1,0,0
train76,abbas condemns israeli massacre in northern gaza strip,0.2642,0.2792,0.2642,0,0.1925,0
train77,bangladesh ferry sinks dead,0.192,0,0.128,0,0.68,0
train78,bucs find a new kick in life,0,0,0,0.5405,0,0.4595
train79,google to unveil election mashup,0,0,0,0.3846,0,0.6154
train80,police warn of child exploitation online,0.2488,0.3062,0.2392,0,0.2057,0
train81,breast cancer awareness is important,0,0,0.7209,0,0.2791,0
train82,hungary police tackle violent protestors,0.2813,0,0.25,0.0469,0.4219,0
train83,three drivers had reason to be proud in brazil,0,0,0,1,0,0
train84,celebrities protest malibu gas facility,0.3165,0,0,0.3418,0.3418,0
train85,presto he s batman then magic man,0,0,0,0.4688,0,0.5313
train86,heavy use of mobile phones can make men infertile scientists say,0,0,0.4583,0,0.1771,0.3646
train87,russian ship sinks in pacific,0.0818,0,0.2091,0,0.6,0.1091
train88,china successfully launches two satellites,0,0,0,1,0,0
train89,prestige has magic touch,0,0,0,1,0,0
train90,lies damned lies and divorce,0.3007,0.2797,0.0699,0,0.3497,0
train91,manning inspires giants to victory in dallas,0,0,0,1,0,0
train92,riot warning for france suburbs,0.2857,0.1677,0.1925,0,0.3292,0.0248
train93,full recovery expected for marathon winner,0,0,0,0.8725,0,0.1275
train94,sony apologises for global battery recall,0.1714,0,0,0,0.8286,0
train95,questions on credit card safety,0.0909,0,0.4545,0,0.4545,0
train96,budapest calm after night of violent protests,0.382,0.0225,0.2022,0.2022,0.191,0
train97,vegetables may boost brain power in older adults,0,0,0.1698,0.717,0,0.1132
train98,report criticises us press freedoms,0.2451,0.2353,0.0588,0.2059,0.1275,0.1275
train99,french suburb riots could resume,0.0769,0,0.641,0,0.2821,0
train100,photographer kidnapping condemned,0.2956,0.3459,0,0.1321,0.2075,0.0189
train101,photographer kidnapped in gaza,0.2402,0.2445,0.1747,0,0.2358,0.1048
train102,baseball rogers enjoys his muddied streak,0,0,0,0.8171,0,0.1829
train103,cultural revolutionary the ipod is five,0,0,0,0.7949,0,0.2051
train104,life on mars maybe we missed it,0,0.0444,0,0.2444,0.0667,0.6444
train105,three found alive from missing russian ship report,0,0,0.0331,0.4967,0.0927,0.3775
train106,moderate drinking reduces men s heart attack risk,0,0,0.4328,0.5672,0,0
train107,the sweet tune of an anniversary,0,0,0,1,0,0
train108,inconvenient truths,0.3871,0.0968,0.1613,0,0.2581,0.0968
train109,dating difficult for harry potter,0.3333,0,0,0,0,0.6667
train110,students lose their rite of passage,0,0,0,0,1,0
train111,putin vows to tackle illegal immigration,0.3333,0.2333,0,0,0.3333,0.1
train112,ottawa must redefine terror,0,0,0.8684,0,0.1316,0
train113,britain to limit workers from romania bulgaria,0.1064,0.2128,0.4681,0,0.2128,0
train114,top general optimistic on iraq,0.2171,0.2326,0,0.2093,0.3411,0
train115,kim osorio wins sexual harrassment suit against the source,0.1455,0.1455,0,0.6545,0.0545,0
